VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,RatecodeID,Airport_fee,PULocationID,DOLocationID,payment_type,extra,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,6/28/2023 17:20,6/28/2023 16:34,1,2.14,1,0,120,9,Credit Card,2.5,7.17,0,1,20.64,2.5
0,6/29/2023 23:05,6/29/2023 22:01,1,2.7,1,0,15,215,Credit Card,3.5,6.07,0,1,25.55,2.5
1,6/30/2023 10:19,6/30/2023 11:13,1,1.15,1,0,167,223,Credit Card,0,4.11,0,1,17.64,2.5
0,6/29/2023 13:23,6/29/2023 14:20,1,0.4,1,0,128,239,Credit Card,2.5,6.41,0,1,12.8,2.5
1,6/29/2023 22:03,6/29/2023 22:22,3,1.1,1,0,203,52,Credit Card,1,4.77,0,1,18,2.5
0,6/29/2023 16:31,6/29/2023 16:29,1,0,99,0,225,256,Credit Card,0,1.51,0,1,44.7,0
1,6/30/2023 12:54,6/30/2023 11:52,1,1.33,1,0,214,240,Cash,0,0.09,0,1,18.2,2.5
1,6/30/2023 17:16,6/30/2023 17:40,1,0.45,1,0,176,227,Cash,2.5,0.73,0,1,13.7,2.5
0,6/30/2023 21:52,6/30/2023 21:54,3,3.8,1,0,196,139,Credit Card,3.5,6.59,0,1,35.6,2.5
1,6/29/2023 11:12,6/29/2023 9:39,1,2.5,1,0,138,196,Credit Card,0,6.09,0,1,23.1,2.5
0,6/29/2023 8:48,6/29/2023 9:46,0,8.9,1,1.75,40,153,Credit Card,9.25,14.74,6.55,1,74.4,2.5
0,6/30/2023 11:52,6/30/2023 12:24,0,8.2,1,0,215,125,Credit Card,7.5,10.49,0,1,62.25,2.5
0,6/30/2023 15:15,6/30/2023 14:06,1,0.8,1,0,55,64,Cash,2.5,3.40,0,1,10.5,2.5
0,6/30/2023 20:10,6/30/2023 20:10,1,1.7,1,0,77,27,Cash,5,0.35,0,1,23.5,2.5
1,6/28/2023 23:02,6/29/2023 0:32,1,2.62,1,0,1,181,Credit Card,1,10.20,0,1,26.63,2.5
0,6/30/2023 21:35,6/30/2023 22:01,1,3.2,1,0,3,53,Credit Card,3.5,5.70,0,1,27.1,2.5
0,6/29/2023 10:10,6/29/2023 10:42,1,1.8,1,0,207,40,Credit Card,2.5,6.00,0,1,22.65,2.5
1,6/29/2023 20:20,6/29/2023 20:48,1,1.51,1,0,9,111,Credit Card,2.5,5.72,0,1,23.4,2.5
1,6/29/2023 22:26,6/29/2023 23:52,1,4.19,1,0,127,37,Credit Card,1,2.84,0,1,25.8,2.5
1,6/29/2023 21:27,6/29/2023 23:15,1,6.63,1,0,31,257,Cash,1,1.83,0,1,40.9,2.5
1,6/28/2023 20:25,6/28/2023 20:05,1,6.61,1,0,126,151,Credit Card,2.5,10.11,0,1,44.25,2.5
0,6/29/2023 20:22,6/29/2023 20:53,1,3.3,1,0,187,225,Credit Card,3.5,8.14,0,1,28.9,2.5
1,6/29/2023 12:53,6/29/2023 12:35,1,1.91,1,0,17,36,Credit Card,0,11.13,0,1,30.03,2.5
